141;7464;BANCO SUMITOMO MITSUI BRASILEIRO S.A.
142;7341;ITAÚ UNIBANCO S.A.
143;5237;BANCO BRADESCO S.A.
144;31123;BANCO ALFA DE INVESTIMENTO S.A.
145;5637;BANCO SOFISA S.A.
146;5653;BANCO VOITER S.A.
147;31111;BANCO CREFISA S.A.
148;6370;BANCO MIZUHO DO BRASIL S.A.
149;5318;BANCO BMG S.A.
150;57346;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
151;7366;BANCO SOCIETE GENERALE BRASIL S.A.
152;5611;BANCO PAULISTA S.A.
153;6755;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.
154;5643;BANCO PINE S.A.
155;31707;BANCO DAYCOVAL S.A.
156;37564;DIBRAN DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
157;57363;SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
158;6487;DEUTSCHE BANK S.A. - BANCO ALEMAO
159;5633;BANCO RENDIMENTO S.A.
160;5218;BANCO BS2 S.A.
161;38009;LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
162;31824;FRENTE CORRETORA DE CAMBIO S.A.
163;38005;PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
164;57434;EXIM CORRETORA DE CAMBIO LTDA
165;57440;B&T CORRETORA DE CAMBIO LTDA.
166;7753;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO
167;7222;BANCO CRÉDIT AGRICOLE BRASIL S.A.
168;57096;DOURADA CORRETORA DE CAMBIO LTDA.
169;57100;DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
170;31712;BANCO OURINVEST S.A.
171;57361;CORREPARTI CORRETORA DE CAMBIO LTDA
172;37080;EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LT
173;3008;BANCO SANTANDER (BRASIL) S.A.
174;4041;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.
175;57017;ADVANCED CORRETORA DE CAMBIO LTDA
176;5212;BANCO ORIGINAL S.A.
177;57423;EFX CORRETORA DE CAMBIO LTDA.
